	GSM1867414_sample_table.txt	GSM1867415_sample_table.txt	GSM1867416_sample_table.txt	GSM1867417_sample_table.txt	GSM1867418_sample_table.txt	GSM1867419_sample_table.txt	GSM1867420_sample_table.txt	GSM1867421_sample_table.txt	GSM1867422_sample_table.txt	GSM1867423_sample_table.txt	GSM1867424_sample_table.txt	GSM1867425_sample_table.txt	GSM1867426_sample_table.txt	GSM1867427_sample_table.txt	GSM1867428_sample_table.txt	GSM1867429_sample_table.txt
ILMN_2812164	8.34767	8.32478	8.33697	8.37663	8.36356	8.31381	8.34484	8.32453	8.36332	8.33179	8.35844	8.31772	8.29622	8.34311	8.31791	8.35121
ILMN_2812215	8.55278	8.52777	8.52665	8.58122	8.58451	8.54104	8.57101	8.61664	8.58936	8.52194	8.60758	8.58802	8.58831	8.61820	8.64344	8.62751
ILMN_2812240	8.33920	8.41321	8.34512	8.32827	8.32543	8.32701	8.30793	8.29954	8.34748	8.31859	8.30539	8.33563	8.32322	8.36327	8.32654	8.32212
ILMN_2812244	8.34740	8.37617	8.39691	8.35073	8.39534	8.38567	8.37938	8.38704	8.39628	8.39145	8.36160	8.37834	8.36609	8.34453	8.41587	8.37275
ILMN_2812286	8.31021	8.33340	8.33778	8.32334	8.32840	8.32826	8.35896	8.31863	8.33602	8.30682	8.33495	8.35053	8.36105	8.32155	8.34744	8.33907
ILMN_2812599	8.33216	8.30731	8.32615	8.33103	8.33951	8.32718	8.33987	8.31673	8.33509	8.31079	8.35954	8.30974	8.31782	8.31792	8.31246	8.31047
ILMN_2812614	8.51932	8.44226	8.39386	8.43867	8.49950	8.45917	8.49220	8.48001	8.43518	8.43975	8.46279	8.44690	8.41678	8.40870	8.46262	8.44959
ILMN_2812645	8.35931	8.36143	8.39092	8.38196	8.36767	8.36052	8.36955	8.37688	8.41694	8.37216	8.37681	8.38355	8.38819	8.35031	8.38866	8.39863
ILMN_2812700	8.35263	8.32170	8.31502	8.30271	8.37861	8.31797	8.32554	8.31395	8.32704	8.33995	8.31182	8.33649	8.33405	8.31723	8.34337	8.33102
ILMN_2812759	8.30513	8.33158	8.30874	8.35242	8.32326	8.34853	8.33374	8.33949	8.33695	8.34018	8.31708	8.34036	8.32817	8.35429	8.33081	8.31635
ILMN_2812824	9.11913	9.16332	9.16929	9.05106	9.10185	9.01187	8.99907	9.10020	9.09273	9.07494	9.17811	9.16603	9.13383	9.11861	9.12192	9.17962
ILMN_2812900	8.84261	8.73846	8.71649	8.79254	8.89256	8.75598	8.84079	8.84848	8.74005	8.76645	8.75438	8.81518	8.80894	8.78253	8.77911	8.86323
ILMN_2812926	8.31490	8.28521	8.30449	8.32910	8.31346	8.28930	8.32791	8.29867	8.28870	8.31390	8.32358	8.29116	8.30210	8.32016	8.33366	8.33301
ILMN_2812935	10.10658	10.26230	10.13213	10.16514	10.11440	10.11694	10.22642	10.22769	10.13918	10.22299	10.09304	10.15512	10.18234	10.15299	9.95763	10.15577
ILMN_2812954	8.33455	8.33723	8.35584	8.39159	8.34943	8.35301	8.36107	8.33249	8.35102	8.36243	8.34402	8.36130	8.40398	8.38478	8.36192	8.34771
ILMN_2812960	8.34366	8.33634	8.33468	8.33800	8.33483	8.33249	8.32583	8.35046	8.32788	8.31327	8.32725	8.31488	8.33707	8.33382	8.37607	8.32058
ILMN_2813109	8.32498	8.32318	8.30221	8.32793	8.35666	8.30945	8.33579	8.31941	8.34689	8.31150	8.32023	8.29300	8.31262	8.31994	8.33744	8.31760
ILMN_2813186	8.69991	8.75653	8.70805	8.72238	8.64790	8.65179	8.58433	8.67374	8.72353	8.67753	8.74296	8.77414	8.71597	8.71159	8.66506	8.74771
ILMN_2813203	8.35081	8.34668	8.31927	8.32509	8.37491	8.33374	8.34080	8.32485	8.33971	8.31247	8.37938	8.33997	8.33575	8.34964	8.32798	8.32868
ILMN_2813221	8.33099	8.34861	8.33507	8.37482	8.33271	8.35621	8.40851	8.34291	8.36014	8.39033	8.36519	8.37061	8.33777	8.36737	8.34633	8.36185
ILMN_2813224	8.35942	8.33876	8.39906	8.35247	8.34562	8.36699	8.40519	8.36249	8.43620	8.39595	8.41426	8.40427	8.36337	8.35240	8.36140	8.37527
ILMN_2813284	8.49671	8.49955	8.46556	8.44491	8.45755	8.51170	8.50844	8.48558	8.47849	8.47395	8.46877	8.50968	8.53824	8.50035	8.47306	8.57184
ILMN_2813286	8.36359	8.34390	8.35125	8.35660	8.38421	8.36845	8.38772	8.38866	8.37714	8.35402	8.36012	8.36075	8.39366	8.39682	8.37850	8.39662
ILMN_2813390	10.94220	10.94633	10.75973	11.04219	10.95803	11.04415	10.99815	11.03124	10.87852	10.97783	10.93538	10.89118	10.94816	11.09875	10.94593	10.90314
ILMN_2813454	12.43939	12.33141	12.42996	12.45156	12.37170	12.41512	12.33848	12.47942	12.25163	12.40425	12.41135	12.36992	12.29436	12.50748	12.42470	12.41117
ILMN_2813484	10.95945	10.90813	10.81795	10.53414	10.66090	10.74182	11.16056	10.09919	10.95686	10.99851	10.57181	11.33922	11.34445	10.51159	10.46929	10.90287
ILMN_2813487	9.58243	9.59032	9.59508	9.34190	9.52415	9.50078	9.77719	9.05131	9.73396	9.80502	9.39452	9.97747	9.79451	9.31809	9.15730	9.65124
ILMN_2813524	8.43035	8.46578	8.42099	8.46484	8.55117	8.46495	8.46332	8.45025	8.50612	8.46779	8.48773	8.44132	8.51392	8.47161	8.52607	8.51487
ILMN_2813547	12.78396	12.82454	12.85172	12.87378	12.84787	12.89546	12.74937	12.88561	13.01391	12.87273	12.69159	12.91580	13.09438	12.79710	12.92004	12.92497
ILMN_2813577	8.35064	8.38613	8.37110	8.36541	8.36438	8.35778	8.37128	8.35392	8.38357	8.38474	8.33339	8.36053	8.35609	8.33691	8.37938	8.37147
ILMN_2813594	9.33328	9.33023	9.48963	9.43473	9.21323	9.43961	9.25635	9.40665	9.25692	9.42321	9.35798	9.21684	9.25193	9.32615	9.24655	9.26983
ILMN_2813712	8.38239	8.40325	8.35860	8.39406	8.35886	8.34126	8.37352	8.36260	8.37078	8.36475	8.42423	8.35238	8.36167	8.43468	8.34492	8.37245
ILMN_2813724	8.33429	8.30396	8.31429	8.33734	8.32718	8.29576	8.31057	8.30806	8.31616	8.32938	8.31849	8.31888	8.32802	8.33733	8.30562	8.34542
ILMN_2813771	8.33615	8.32840	8.30336	8.34959	8.30911	8.30440	8.31883	8.30154	8.33430	8.30425	8.30382	8.30736	8.31100	8.29988	8.33864	8.29876
ILMN_2813830	8.48935	8.47440	8.47244	8.44281	8.49088	8.50538	8.52358	8.51770	8.55566	8.47422	8.51766	8.47175	8.52083	8.45499	8.51834	8.45659
ILMN_2813859	8.37876	8.44018	8.42377	8.35145	8.40207	8.42279	8.37977	8.38168	8.37788	8.38560	8.39937	8.37357	8.39997	8.41238	8.39519	8.38499
ILMN_2813940	8.36115	8.30663	8.29976	8.32932	8.33537	8.33611	8.35136	8.38994	8.34891	8.36491	8.33468	8.36017	8.34593	8.30971	8.33752	8.32083
ILMN_2814005	9.43035	9.28309	9.04110	9.38568	9.51306	9.32234	9.49273	9.48942	9.60821	9.47852	9.50522	9.18297	9.39069	9.37211	9.41120	9.17558
ILMN_2814051	9.46423	9.40025	9.46506	9.48362	9.33560	9.31604	9.48206	9.26965	9.33698	9.47511	9.37988	9.47485	9.43077	9.49330	9.36973	9.38752
ILMN_2814107	8.38764	8.41051	8.36858	8.36863	8.36844	8.39300	8.38628	8.40304	8.34908	8.34430	8.31600	8.36759	8.36643	8.34220	8.37467	8.36961
ILMN_2814127	8.36174	8.33984	8.33864	8.35272	8.31817	8.31168	8.33108	8.31135	8.33497	8.35098	8.32474	8.31881	8.32766	8.34657	8.35352	8.34000
ILMN_2814168	8.50313	8.56971	8.57403	8.55623	8.52085	8.50467	8.48113	8.50286	8.52470	8.52669	8.51493	8.59124	8.52840	8.56037	8.52375	8.59915
ILMN_2814258	8.32400	8.36054	8.32709	8.34174	8.33352	8.34458	8.32344	8.33868	8.31476	8.31145	8.31343	8.33642	8.29244	8.35790	8.34953	8.32008
ILMN_2814333	9.53247	9.48891	9.40780	9.56480	9.47808	9.50475	9.32534	9.43836	9.50102	9.51098	9.57912	9.58292	9.51656	9.59092	9.47863	9.44683
ILMN_2814350	8.79476	8.86275	8.92855	8.83789	8.89456	8.89943	8.87592	8.86366	8.83644	8.90958	8.91973	8.94932	8.81408	8.96739	8.92735	8.90627
ILMN_2814357	8.32053	8.32639	8.32701	8.31740	8.31499	8.35877	8.31830	8.36048	8.32178	8.34705	8.33459	8.32370	8.31427	8.32831	8.31974	8.30832
ILMN_2814385	8.35392	8.35743	8.30787	8.34845	8.38364	8.34898	8.34557	8.35236	8.37531	8.33577	8.38637	8.33576	8.33669	8.35049	8.34501	8.33164
ILMN_2814431	12.54405	12.45551	12.34362	12.42280	12.51205	12.57880	12.46647	12.44588	12.33553	12.51586	12.52058	12.36752	12.37558	12.54528	12.42360	12.55789
ILMN_2814484	8.29055	8.29806	8.29814	8.30733	8.32677	8.29923	8.33205	8.34167	8.31155	8.30344	8.32068	8.33583	8.30757	8.33280	8.30088	8.30655
ILMN_2814524	8.33893	8.34561	8.31754	8.32140	8.31147	8.30922	8.33883	8.31174	8.32750	8.34095	8.30469	8.31236	8.35348	8.32181	8.33853	8.30233
ILMN_2814551	8.30328	8.30445	8.34796	8.31377	8.30880	8.34574	8.31353	8.32684	8.31784	8.29250	8.36305	8.32651	8.31781	8.30758	8.33148	8.31034
ILMN_2814660	8.28762	8.31101	8.32484	8.33408	8.30384	8.32092	8.30944	8.32916	8.30367	8.32607	8.30451	8.30199	8.31883	8.32443	8.30590	8.32616
ILMN_2814768	8.37867	8.36123	8.35924	8.37760	8.36022	8.39619	8.34853	8.34263	8.38800	8.37800	8.38567	8.37740	8.37823	8.36255	8.39780	8.35201
ILMN_2814847	9.17243	9.16124	9.09520	9.17628	9.07522	9.18362	9.00686	9.18044	9.18686	9.12623	9.05999	9.09556	9.19736	9.15340	9.08830	9.28033
ILMN_2814865	8.44365	8.47149	8.37888	8.42366	8.44495	8.41766	8.41723	8.43082	8.40225	8.39896	8.43648	8.37612	8.37084	8.39582	8.42358	8.38389
